county,year,month,temperature,mu,sigma,norm_loss,quantile_score
Placer,2021,8,22.25034253282729,21.35088632984271,1.0149927949293285,-1.3264687146229666,0.2706070143127342
Placer,2021,9,19.292067822431363,18.512592859741453,1.025538446484566,-1.2330050442681755,0.23494057979309052
Placer,2021,10,11.27512191338286,12.990670287281043,1.4972162489547884,-1.9790039811346907,0.5344809819612266
Placer,2021,11,8.990140175191925,7.082910509845478,1.5291095916291908,-2.1214793443539843,0.606067587486783
Placer,2021,12,3.677161738106065,3.4799089480804266,1.2887090761506195,-1.1842935699635901,0.15809455699739536
Riverside,2021,1,11.58988923731738,11.654282169979057,1.3125021638643213,-1.1920773980742718,0.15546079423982553
Riverside,2021,2,13.986048336890804,12.998588729972916,1.6705620931858114,-1.6067948775627205,0.3113921414548306
Riverside,2021,3,14.24373260824325,15.874720128077085,1.7121565685479905,-1.9104085035449103,0.493306970828912
Riverside,2021,4,20.69692559949516,18.90620937014851,1.5772443631744666,-2.019121722238564,0.5567881598640718
Riverside,2021,5,23.63914089761664,22.755315091729223,1.9396253890366395,-1.6852501895352043,0.30862209455671746
Riverside,2021,6,30.299603156850083,27.452401457351996,1.609450890657876,-2.959603402916618,1.00434260833767
Riverside,2021,7,32.01326931554348,30.412600976054748,1.0933135357552086,-2.079876319078847,0.5319270297681663
Riverside,2021,8,31.366853675275024,30.277678695095858,0.9489438348566916,-1.5252277662882463,0.33945812130353265
Riverside,2021,9,28.364737652675103,27.360529745565653,0.9907263971535242,-1.4233219499636856,0.30607932015640954
Riverside,2021,10,19.85606359243264,21.476119714043993,1.4697220544373113,-1.9115306082301966,0.5007857072232896
Riverside,2021,11,18.0609144987298,15.502352333632203,1.6129419438766193,-2.6551253309320777,0.8716804018976371
Riverside,2021,12,11.110621476154847,10.947761087597549,1.0307400813774126,-0.9616981327620403,0.12678216020270042
Sacramento,2021,1,9.780501411758564,9.005130811022944,1.1789649148800756,-1.299840726077133,0.23830232662042716
Sacramento,2021,2,11.530950285462607,10.972946977634532,1.1305553184187818,-1.1634510191288598,0.1877565136937727
Sacramento,2021,3,12.330077216456004,13.260063906067225,1.3276546570603294,-1.4476839518127151,0.2827685075457066
Sacramento,2021,4,16.666206350144535,15.819828401487426,1.3289377144862382,-1.4061284760633312,0.2618662622907152
Sacramento,2021,5,20.74188759474731,19.30871437907716,1.7468060848185374,-1.8132995553453117,0.4305772807166186
Sacramento,2021,6,23.60488843626172,22.645883504994913,1.1189426449168902,-1.3986016513697863,0.2881938140973033
Sacramento,2021,7,24.48564170781782,24.00620772603593,0.9063717894616435,-0.9605319237654982,0.15686492974717303
Sacramento,2021,8,23.678829024978427,23.520489557946732,0.9466661189053851,-0.8781176881403963,0.11701632216489417
Sacramento,2021,9,22.38022006476604,22.1289277810774,0.8677419702351048,-0.8190098027467343,0.11694296682054314
Sacramento,2021,10,16.970811561938888,17.94057801414488,1.109782674301746,-1.4048961574510261,0.2915686415897353
Sacramento,2021,11,12.666499393724507,12.309959369215477,1.1133714683336304,-1.077606391283622,0.15417449913389997
Sacramento,2021,12,8.591871034905864,8.818292106670915,1.4776746299678132,-1.3211475935300632,0.18129229589672377
