county,year,month,temperature,simulated_temperature,mu,sigma,simulation_number,hist_temp_avg
Tulare,2022,4,11.346770897837018,17.380669304157486,10.324097,3.3403618,2.0,10.037848667464178
Tulare,2022,5,15.725101319525097,31.568718084550486,14.264682,2.461523,2.0,14.527169924575414
Tulare,2022,6,21.14158538870612,40.683650538617044,12.284657,5.72268,2.0,19.645663306841538
Tulare,2022,7,24.90441237828668,41.787002414098666,21.147305,2.737938,2.0,23.251412296470782
Tulare,2022,8,25.09614169053713,38.52220273558991,22.924444,5.879965,2.0,22.716539811964267
Tulare,2022,9,22.40520256248084,27.134465483274237,12.647369,5.656867,2.0,19.600219051921115
Tulare,2022,10,16.29709263371859,32.83397319676603,22.072994,4.5453906,2.0,13.940464515262816
Tulare,2022,11,5.048057843462743,13.10690840312186,9.126825,2.3957803,2.0,8.08041035132798
Tulare,2022,12,3.547756511059845,6.820766270342711,3.2633567,1.0065601,2.0,3.97623421721782
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
Tulare,2022,4,11.346770897837018,23.73501564542267,10.324097,3.3403618,3.0,10.037848667464178
Tulare,2022,5,15.725101319525097,30.780204402762003,14.264682,2.461523,3.0,14.527169924575414
Tulare,2022,6,21.14158538870612,34.51056115458681,12.284657,5.72268,3.0,19.645663306841538
Tulare,2022,7,24.90441237828668,44.37835275003333,21.147305,2.737938,3.0,23.251412296470782
Tulare,2022,8,25.09614169053713,36.6364082093945,22.924444,5.879965,3.0,22.716539811964267
Tulare,2022,9,22.40520256248084,29.278893405102522,12.647369,5.656867,3.0,19.600219051921115
Tulare,2022,10,16.29709263371859,29.16814835465666,22.072994,4.5453906,3.0,13.940464515262816
Tulare,2022,11,5.048057843462743,16.70696767247862,9.126825,2.3957803,3.0,8.08041035132798
Tulare,2022,12,3.547756511059845,6.2989942426055965,3.2633567,1.0065601,3.0,3.97623421721782
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
Tulare,2022,4,11.346770897837018,21.78164212358994,10.324097,3.3403618,4.0,10.037848667464178
Tulare,2022,5,15.725101319525097,29.798375358190988,14.264682,2.461523,4.0,14.527169924575414
Tulare,2022,6,21.14158538870612,24.274581434162243,12.284657,5.72268,4.0,19.645663306841538
Tulare,2022,7,24.90441237828668,44.76029805793816,21.147305,2.737938,4.0,23.251412296470782
Tulare,2022,8,25.09614169053713,43.778321185163186,22.924444,5.879965,4.0,22.716539811964267
Tulare,2022,9,22.40520256248084,24.50207265258908,12.647369,5.656867,4.0,19.600219051921115
Tulare,2022,10,16.29709263371859,38.38165972002944,22.072994,4.5453906,4.0,13.940464515262816
Tulare,2022,11,5.048057843462743,14.067427701284291,9.126825,2.3957803,4.0,8.08041035132798
Tulare,2022,12,3.547756511059845,6.725956880378936,3.2633567,1.0065601,4.0,3.97623421721782
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
Tulare,2022,4,11.346770897837018,18.812403698601518,10.324097,3.3403618,5.0,10.037848667464178
Tulare,2022,5,15.725101319525097,27.68688878791812,14.264682,2.461523,5.0,14.527169924575414
Tulare,2022,6,21.14158538870612,31.552628177996215,12.284657,5.72268,5.0,19.645663306841538
Tulare,2022,7,24.90441237828668,42.71855350424789,21.147305,2.737938,5.0,23.251412296470782
Tulare,2022,8,25.09614169053713,44.54150752957686,22.924444,5.879965,5.0,22.716539811964267
Tulare,2022,9,22.40520256248084,37.97872445900563,12.647369,5.656867,5.0,19.600219051921115
Tulare,2022,10,16.29709263371859,34.72749137849767,22.072994,4.5453906,5.0,13.940464515262816
Tulare,2022,11,5.048057843462743,19.103385539875102,9.126825,2.3957803,5.0,8.08041035132798
Tulare,2022,12,3.547756511059845,6.5481188401223385,3.2633567,1.0065601,5.0,3.97623421721782
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
Tulare,2022,4,11.346770897837018,19.654682931440718,10.324097,3.3403618,6.0,10.037848667464178
Tulare,2022,5,15.725101319525097,25.66574012920983,14.264682,2.461523,6.0,14.527169924575414
Tulare,2022,6,21.14158538870612,33.54678563769063,12.284657,5.72268,6.0,19.645663306841538
Tulare,2022,7,24.90441237828668,39.91707337269784,21.147305,2.737938,6.0,23.251412296470782
Tulare,2022,8,25.09614169053713,37.48722499907407,22.924444,5.879965,6.0,22.716539811964267
Tulare,2022,9,22.40520256248084,39.05499616407994,12.647369,5.656867,6.0,19.600219051921115
Tulare,2022,10,16.29709263371859,34.76043966976209,22.072994,4.5453906,6.0,13.940464515262816
Tulare,2022,11,5.048057843462743,19.07967193964,9.126825,2.3957803,6.0,8.08041035132798
Tulare,2022,12,3.547756511059845,5.855957945564324,3.2633567,1.0065601,6.0,3.97623421721782
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
Tulare,2022,4,11.346770897837018,16.975985388463485,10.324097,3.3403618,7.0,10.037848667464178
Tulare,2022,5,15.725101319525097,31.80442965798805,14.264682,2.461523,7.0,14.527169924575414
Tulare,2022,6,21.14158538870612,27.157751381658414,12.284657,5.72268,7.0,19.645663306841538
Tulare,2022,7,24.90441237828668,40.55025323816002,21.147305,2.737938,7.0,23.251412296470782
Tulare,2022,8,25.09614169053713,51.76937403083295,22.924444,5.879965,7.0,22.716539811964267
Tulare,2022,9,22.40520256248084,32.23629874277648,12.647369,5.656867,7.0,19.600219051921115
Tulare,2022,10,16.29709263371859,32.688171609649686,22.072994,4.5453906,7.0,13.940464515262816
Tulare,2022,11,5.048057843462743,16.259631972691313,9.126825,2.3957803,7.0,8.08041035132798
Tulare,2022,12,3.547756511059845,6.737000850579763,3.2633567,1.0065601,7.0,3.97623421721782
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
Tulare,2022,4,11.346770897837018,20.61514681525526,10.324097,3.3403618,8.0,10.037848667464178
Tulare,2022,5,15.725101319525097,22.97646788710659,14.264682,2.461523,8.0,14.527169924575414
Tulare,2022,6,21.14158538870612,38.88179819302486,12.284657,5.72268,8.0,19.645663306841538
Tulare,2022,7,24.90441237828668,45.46250245605198,21.147305,2.737938,8.0,23.251412296470782
Tulare,2022,8,25.09614169053713,40.053728552256416,22.924444,5.879965,8.0,22.716539811964267
Tulare,2022,9,22.40520256248084,36.987698084446194,12.647369,5.656867,8.0,19.600219051921115
Tulare,2022,10,16.29709263371859,31.622719139900127,22.072994,4.5453906,8.0,13.940464515262816
Tulare,2022,11,5.048057843462743,16.74647269456571,9.126825,2.3957803,8.0,8.08041035132798
Tulare,2022,12,3.547756511059845,6.761670181814304,3.2633567,1.0065601,8.0,3.97623421721782
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
Tulare,2022,4,11.346770897837018,15.96374605008529,10.324097,3.3403618,9.0,10.037848667464178
Tulare,2022,5,15.725101319525097,29.75069458832001,14.264682,2.461523,9.0,14.527169924575414
Tulare,2022,6,21.14158538870612,33.23653347966504,12.284657,5.72268,9.0,19.645663306841538
Tulare,2022,7,24.90441237828668,43.77767891452271,21.147305,2.737938,9.0,23.251412296470782
Tulare,2022,8,25.09614169053713,30.172236466164495,22.924444,5.879965,9.0,22.716539811964267
Tulare,2022,9,22.40520256248084,30.53138869803218,12.647369,5.656867,9.0,19.600219051921115
Tulare,2022,10,16.29709263371859,35.86451046643358,22.072994,4.5453906,9.0,13.940464515262816
Tulare,2022,11,5.048057843462743,17.684605557639728,9.126825,2.3957803,9.0,8.08041035132798
Tulare,2022,12,3.547756511059845,6.2120653100767385,3.2633567,1.0065601,9.0,3.97623421721782
Tulare,2022,1,4.486374848774233,,,,,
Tulare,2022,2,5.026430567973648,,,,,
Tulare,2022,3,8.48853181723041,,,,,
Tulare,2022,4,11.346770897837018,14.869074608900704,10.324097,3.3403618,10.0,10.037848667464178
Tulare,2022,5,15.725101319525097,26.769734729616275,14.264682,2.461523,10.0,14.527169924575414
Tulare,2022,6,21.14158538870612,29.414998974185032,12.284657,5.72268,10.0,19.645663306841538
Tulare,2022,7,24.90441237828668,39.63079116597362,21.147305,2.737938,10.0,23.251412296470782
Tulare,2022,8,25.09614169053713,39.94816001388645,22.924444,5.879965,10.0,22.716539811964267
Tulare,2022,9,22.40520256248084,24.101719814237214,12.647369,5.656867,10.0,19.600219051921115
Tulare,2022,10,16.29709263371859,27.526128543456615,22.072994,4.5453906,10.0,13.940464515262816
Tulare,2022,11,5.048057843462743,13.674631467497132,9.126825,2.3957803,10.0,8.08041035132798
Tulare,2022,12,3.547756511059845,5.995209534657336,3.2633567,1.0065601,10.0,3.97623421721782
Fresno,2023,1,4.845747882872217,,,,,
Fresno,2023,2,4.241971456664828,,,,,
Fresno,2023,3,6.04773968143968,,,,,
Fresno,2023,4,11.726772934920518,28.33045527056781,10.234747,3.4581485,1.0,11.40994578724475
Fresno,2023,5,15.847716475432437,29.472796974595738,14.286436,3.2944026,1.0,15.726880869216993
Fresno,2023,6,18.7673322009137,24.310832172804396,12.436257,6.1037097,1.0,20.532048256639754
Fresno,2023,7,26.13362508312997,47.81345707619195,20.764885,3.7676916,1.0,23.929567634365842
Fresno,2023,8,24.014566145561616,63.335679284454685,23.443535,6.708337,1.0,23.238126177678094
Fresno,2023,9,20.00183147869581,33.79346368120829,12.45835,6.0374956,1.0,20.25666262706951
Fresno,2023,10,15.887224961901666,36.296546002724725,18.72339,3.5378523,1.0,14.799771559775353
Fresno,2023,11,9.571565878336571,15.826186396219214,8.817482,3.3256664,1.0,8.744713141070942
Fresno,2023,12,7.235348810925132,13.078347389578461,6.2392125,1.3236492,1.0,4.970274555082357
Fresno,2023,1,4.845747882872217,,,,,
Fresno,2023,2,4.241971456664828,,,,,
Fresno,2023,3,6.04773968143968,,,,,
Fresno,2023,4,11.726772934920518,20.174841423682548,10.234747,3.4581485,2.0,11.40994578724475
Fresno,2023,5,15.847716475432437,31.91217216846192,14.286436,3.2944026,2.0,15.726880869216993
Fresno,2023,6,18.7673322009137,29.68482678055365,12.436257,6.1037097,2.0,20.532048256639754
Fresno,2023,7,26.13362508312997,45.8457549299886,20.764885,3.7676916,2.0,23.929567634365842
Fresno,2023,8,24.014566145561616,50.501064898674976,23.443535,6.708337,2.0,23.238126177678094
Fresno,2023,9,20.00183147869581,35.53283935660083,12.45835,6.0374956,2.0,20.25666262706951
Fresno,2023,10,15.887224961901666,35.27234022760792,18.72339,3.5378523,2.0,14.799771559775353
Fresno,2023,11,9.571565878336571,16.92283619058024,8.817482,3.3256664,2.0,8.744713141070942
Fresno,2023,12,7.235348810925132,10.64979107852009,6.2392125,1.3236492,2.0,4.970274555082357
Fresno,2023,1,4.845747882872217,,,,,
Fresno,2023,2,4.241971456664828,,,,,
Fresno,2023,3,6.04773968143968,,,,,
Fresno,2023,4,11.726772934920518,18.837142586932707,10.234747,3.4581485,3.0,11.40994578724475
Fresno,2023,5,15.847716475432437,29.92064684076682,14.286436,3.2944026,3.0,15.726880869216993
Fresno,2023,6,18.7673322009137,40.10082021654078,12.436257,6.1037097,3.0,20.532048256639754
Fresno,2023,7,26.13362508312997,48.756060626142016,20.764885,3.7676916,3.0,23.929567634365842
Fresno,2023,8,24.014566145561616,47.20901111513503,23.443535,6.708337,3.0,23.238126177678094
Fresno,2023,9,20.00183147869581,47.26524683183512,12.45835,6.0374956,3.0,20.25666262706951
Fresno,2023,10,15.887224961901666,34.54786721172538,18.72339,3.5378523,3.0,14.799771559775353
Fresno,2023,11,9.571565878336571,27.014086585397855,8.817482,3.3256664,3.0,8.744713141070942
Fresno,2023,12,7.235348810925132,10.97299939903938,6.2392125,1.3236492,3.0,4.970274555082357
Fresno,2023,1,4.845747882872217,,,,,
Fresno,2023,2,4.241971456664828,,,,,
Fresno,2023,3,6.04773968143968,,,,,
Fresno,2023,4,11.726772934920518,14.798083118654485,10.234747,3.4581485,4.0,11.40994578724475
Fresno,2023,5,15.847716475432437,26.485862267154694,14.286436,3.2944026,4.0,15.726880869216993
Fresno,2023,6,18.7673322009137,35.02392772871808,12.436257,6.1037097,4.0,20.532048256639754
Fresno,2023,7,26.13362508312997,43.62611695410603,20.764885,3.7676916,4.0,23.929567634365842
Fresno,2023,8,24.014566145561616,42.277806583941086,23.443535,6.708337,4.0,23.238126177678094
Fresno,2023,9,20.00183147869581,31.87785840821911,12.45835,6.0374956,4.0,20.25666262706951
Fresno,2023,10,15.887224961901666,36.44626266662658,18.72339,3.5378523,4.0,14.799771559775353
Fresno,2023,11,9.571565878336571,16.433557704874215,8.817482,3.3256664,4.0,8.744713141070942
Fresno,2023,12,7.235348810925132,11.503379615303636,6.2392125,1.3236492,4.0,4.970274555082357
Fresno,2023,1,4.845747882872217,,,,,
Fresno,2023,2,4.241971456664828,,,,,
Fresno,2023,3,6.04773968143968,,,,,
Fresno,2023,4,11.726772934920518,20.584684324768553,10.234747,3.4581485,5.0,11.40994578724475
Fresno,2023,5,15.847716475432437,28.27819467523901,14.286436,3.2944026,5.0,15.726880869216993
Fresno,2023,6,18.7673322009137,32.821785077629336,12.436257,6.1037097,5.0,20.532048256639754
Fresno,2023,7,26.13362508312997,44.581592999372056,20.764885,3.7676916,5.0,23.929567634365842
